# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.invertedFileNameIndex.requests,1757015580973000000,1757015608855000000,0
JVM.maxThreadCount,1757015580973000000,1757015608855000000,133
JVM.totalTimeAtSafepointsMs,1757015580973000000,1757015608855000000,5276
JVM.totalBytesAllocated,1757015580973000000,1757015608855000000,1183947400
JVM.usedHeapBytes,1757015580973000000,1757015608855000000,433922920
JVM.totalDirectByteBuffersBytes,1757015580973000000,1757015608855000000,178464917
JVM.GC.collections,1757015580973000000,1757015608855000000,9
JVM.threadCount,1757015580973000000,1757015608855000000,92
MEM.ramMinusFileMappingsBytes,1757015580973000000,1757015608855000000,1181908992
JVM.totalCpuTimeMs,1757015580973000000,1757015608855000000,67200
JVM.totalSafepointCount,1757015580973000000,1757015608855000000,24
JVM.committedHeapBytes,1757015580973000000,1757015608855000000,1346371584
JVM.newThreadsCount,1757015580973000000,1757015608855000000,14
JVM.maxHeapBytes,1757015580973000000,1757015608855000000,2877292544
MEM.ramBytes,1757015580973000000,1757015608855000000,1495601152
MEM.fileMappingsRamBytes,1757015580973000000,1757015608855000000,313692160
JVM.GC.collectionTimesMs,1757015580973000000,1757015608855000000,4680
JVM.totalTimeToSafepointsMs,1757015580973000000,1757015608855000000,6447
MEM.ramPlusSwapMinusFileMappingsBytes,1757015580973000000,1757015608855000000,1205370880
OS.loadAverage,1757015580973000000,1757015608855000000,24.87451171875
JVM.usedNativeBytes,1757015580973000000,1757015608855000000,254575104
workspaceModel.moduleManagerBridge.build.module.graph.ms,1757015580973000000,1757015608855000000,19
jps.save.global.entities.ms,1757015580973000000,1757015608855000000,0
jps.save.changed.project.entities.ms,1757015580973000000,1757015608855000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1757015580973000000,1757015608855000000,0
